Year,Series,Units,Type of product,Value
2000,EN_MAT_DOMCMPC,TONNES,ALP,6.20325
2001,EN_MAT_DOMCMPC,TONNES,ALP,6.52651
2002,EN_MAT_DOMCMPC,TONNES,ALP,6.98936
2003,EN_MAT_DOMCMPC,TONNES,ALP,8.36171
2004,EN_MAT_DOMCMPC,TONNES,ALP,8.58584
2005,EN_MAT_DOMCMPC,TONNES,ALP,8.5121
2006,EN_MAT_DOMCMPC,TONNES,ALP,9.59811
2007,EN_MAT_DOMCMPC,TONNES,ALP,9.84437
2008,EN_MAT_DOMCMPC,TONNES,ALP,11.03524
2009,EN_MAT_DOMCMPC,TONNES,ALP,10.76953
2010,EN_MAT_DOMCMPC,TONNES,ALP,10.43052
2011,EN_MAT_DOMCMPC,TONNES,ALP,10.95079
2012,EN_MAT_DOMCMPC,TONNES,ALP,10.80053
2013,EN_MAT_DOMCMPC,TONNES,ALP,11.64394
2014,EN_MAT_DOMCMPC,TONNES,ALP,11.99978
2015,EN_MAT_DOMCMPC,TONNES,ALP,12.87167
2016,EN_MAT_DOMCMPC,TONNES,ALP,13.46676
2017,EN_MAT_DOMCMPC,TONNES,ALP,14.03086
2000,EN_MAT_DOMCMPC,TONNES,BIM,1.83865
2001,EN_MAT_DOMCMPC,TONNES,BIM,1.99191
2002,EN_MAT_DOMCMPC,TONNES,BIM,2.06105
2003,EN_MAT_DOMCMPC,TONNES,BIM,1.64703
2004,EN_MAT_DOMCMPC,TONNES,BIM,2.20122
2005,EN_MAT_DOMCMPC,TONNES,BIM,2.20271
2006,EN_MAT_DOMCMPC,TONNES,BIM,2.27674
2007,EN_MAT_DOMCMPC,TONNES,BIM,2.07786
2008,EN_MAT_DOMCMPC,TONNES,BIM,2.36453
2009,EN_MAT_DOMCMPC,TONNES,BIM,2.26643
2010,EN_MAT_DOMCMPC,TONNES,BIM,2.22894
2011,EN_MAT_DOMCMPC,TONNES,BIM,2.25276
2012,EN_MAT_DOMCMPC,TONNES,BIM,2.04753
2013,EN_MAT_DOMCMPC,TONNES,BIM,2.41833
2014,EN_MAT_DOMCMPC,TONNES,BIM,2.32517
2015,EN_MAT_DOMCMPC,TONNES,BIM,2.33974
2016,EN_MAT_DOMCMPC,TONNES,BIM,2.38356
2017,EN_MAT_DOMCMPC,TONNES,BIM,2.42138
2000,EN_MAT_DOMCMPC,TONNES,COL,1.95874
2001,EN_MAT_DOMCMPC,TONNES,COL,1.98739
2002,EN_MAT_DOMCMPC,TONNES,COL,2.0589
2003,EN_MAT_DOMCMPC,TONNES,COL,2.23034
2004,EN_MAT_DOMCMPC,TONNES,COL,2.25743
2005,EN_MAT_DOMCMPC,TONNES,COL,2.37444
2006,EN_MAT_DOMCMPC,TONNES,COL,2.59746
2007,EN_MAT_DOMCMPC,TONNES,COL,2.54557
2008,EN_MAT_DOMCMPC,TONNES,COL,2.94266
2009,EN_MAT_DOMCMPC,TONNES,COL,3.13034
2010,EN_MAT_DOMCMPC,TONNES,COL,3.0542
2011,EN_MAT_DOMCMPC,TONNES,COL,3.5599
2012,EN_MAT_DOMCMPC,TONNES,COL,3.44307
2013,EN_MAT_DOMCMPC,TONNES,COL,3.41609
2014,EN_MAT_DOMCMPC,TONNES,COL,3.45008
2015,EN_MAT_DOMCMPC,TONNES,COL,3.87561
2016,EN_MAT_DOMCMPC,TONNES,COL,4.01914
2017,EN_MAT_DOMCMPC,TONNES,COL,4.15315
2000,EN_MAT_DOMCMPC,TONNES,CPR,0.33847
2001,EN_MAT_DOMCMPC,TONNES,CPR,0.43254
2002,EN_MAT_DOMCMPC,TONNES,CPR,0.49519
2003,EN_MAT_DOMCMPC,TONNES,CPR,0.30454
2004,EN_MAT_DOMCMPC,TONNES,CPR,0.54362
2005,EN_MAT_DOMCMPC,TONNES,CPR,0.52028
2006,EN_MAT_DOMCMPC,TONNES,CPR,0.51514
2007,EN_MAT_DOMCMPC,TONNES,CPR,0.38189
2008,EN_MAT_DOMCMPC,TONNES,CPR,0.52663
2009,EN_MAT_DOMCMPC,TONNES,CPR,0.52943
2010,EN_MAT_DOMCMPC,TONNES,CPR,0.43445
2011,EN_MAT_DOMCMPC,TONNES,CPR,0.43745
2012,EN_MAT_DOMCMPC,TONNES,CPR,0.34984
2013,EN_MAT_DOMCMPC,TONNES,CPR,0.48102
2014,EN_MAT_DOMCMPC,TONNES,CPR,0.43713
2015,EN_MAT_DOMCMPC,TONNES,CPR,0.44109
2016,EN_MAT_DOMCMPC,TONNES,CPR,0.44373
2017,EN_MAT_DOMCMPC,TONNES,CPR,0.44522
2000,EN_MAT_DOMCMPC,TONNES,CRO,0.78252
2001,EN_MAT_DOMCMPC,TONNES,CRO,0.96035
2002,EN_MAT_DOMCMPC,TONNES,CRO,0.91005
2003,EN_MAT_DOMCMPC,TONNES,CRO,0.70382
2004,EN_MAT_DOMCMPC,TONNES,CRO,1.16575
2005,EN_MAT_DOMCMPC,TONNES,CRO,1.13724
2006,EN_MAT_DOMCMPC,TONNES,CRO,1.0991
2007,EN_MAT_DOMCMPC,TONNES,CRO,0.99999
2008,EN_MAT_DOMCMPC,TONNES,CRO,1.12432
2009,EN_MAT_DOMCMPC,TONNES,CRO,1.10228
2010,EN_MAT_DOMCMPC,TONNES,CRO,1.02572
2011,EN_MAT_DOMCMPC,TONNES,CRO,1.03314
2012,EN_MAT_DOMCMPC,TONNES,CRO,0.91977
2013,EN_MAT_DOMCMPC,TONNES,CRO,1.11168
2014,EN_MAT_DOMCMPC,TONNES,CRO,1.07929
2015,EN_MAT_DOMCMPC,TONNES,CRO,1.10318
2016,EN_MAT_DOMCMPC,TONNES,CRO,1.12427
2017,EN_MAT_DOMCMPC,TONNES,CRO,1.14253
2000,EN_MAT_DOMCMPC,TONNES,FEO,0.09637
2001,EN_MAT_DOMCMPC,TONNES,FEO,0.07
2002,EN_MAT_DOMCMPC,TONNES,FEO,0.05615
2003,EN_MAT_DOMCMPC,TONNES,FEO,0.07191
2004,EN_MAT_DOMCMPC,TONNES,FEO,0.09727
2005,EN_MAT_DOMCMPC,TONNES,FEO,0.51046
2006,EN_MAT_DOMCMPC,TONNES,FEO,0.54694
2007,EN_MAT_DOMCMPC,TONNES,FEO,0.5303
2008,EN_MAT_DOMCMPC,TONNES,FEO,0.64051
2009,EN_MAT_DOMCMPC,TONNES,FEO,0.62278
2010,EN_MAT_DOMCMPC,TONNES,FEO,0.22601
2011,EN_MAT_DOMCMPC,TONNES,FEO,0.28901
2012,EN_MAT_DOMCMPC,TONNES,FEO,0.26201
2013,EN_MAT_DOMCMPC,TONNES,FEO,0.36324
2014,EN_MAT_DOMCMPC,TONNES,FEO,0.3897
2015,EN_MAT_DOMCMPC,TONNES,FEO,0.42133
2016,EN_MAT_DOMCMPC,TONNES,FEO,0.45209
2017,EN_MAT_DOMCMPC,TONNES,FEO,0.4819
2000,EN_MAT_DOMCMPC,TONNES,FOF,2.3088
2001,EN_MAT_DOMCMPC,TONNES,FOF,2.31477
2002,EN_MAT_DOMCMPC,TONNES,FOF,2.37475
2003,EN_MAT_DOMCMPC,TONNES,FOF,2.53438
2004,EN_MAT_DOMCMPC,TONNES,FOF,2.62888
2005,EN_MAT_DOMCMPC,TONNES,FOF,2.73894
2006,EN_MAT_DOMCMPC,TONNES,FOF,2.98715
2007,EN_MAT_DOMCMPC,TONNES,FOF,2.96034
2008,EN_MAT_DOMCMPC,TONNES,FOF,3.40927
2009,EN_MAT_DOMCMPC,TONNES,FOF,3.61068
2010,EN_MAT_DOMCMPC,TONNES,FOF,3.54872
2011,EN_MAT_DOMCMPC,TONNES,FOF,4.07718
2012,EN_MAT_DOMCMPC,TONNES,FOF,3.9123
2013,EN_MAT_DOMCMPC,TONNES,FOF,3.86773
2014,EN_MAT_DOMCMPC,TONNES,FOF,3.87477
2015,EN_MAT_DOMCMPC,TONNES,FOF,4.3249
2016,EN_MAT_DOMCMPC,TONNES,FOF,4.48257
2017,EN_MAT_DOMCMPC,TONNES,FOF,4.62956
2000,EN_MAT_DOMCMPC,TONNES,GAS,0.04529
2001,EN_MAT_DOMCMPC,TONNES,GAS,0.0296
2002,EN_MAT_DOMCMPC,TONNES,GAS,0.02797
2003,EN_MAT_DOMCMPC,TONNES,GAS,0.03653
2004,EN_MAT_DOMCMPC,TONNES,GAS,0.05754
2005,EN_MAT_DOMCMPC,TONNES,GAS,0.06833
2006,EN_MAT_DOMCMPC,TONNES,GAS,0.07193
2007,EN_MAT_DOMCMPC,TONNES,GAS,0.07613
2008,EN_MAT_DOMCMPC,TONNES,GAS,0.07576
2009,EN_MAT_DOMCMPC,TONNES,GAS,0.04341
2010,EN_MAT_DOMCMPC,TONNES,GAS,0.04584
2011,EN_MAT_DOMCMPC,TONNES,GAS,0.05264
2012,EN_MAT_DOMCMPC,TONNES,GAS,0.04902
2013,EN_MAT_DOMCMPC,TONNES,GAS,0.03861
2014,EN_MAT_DOMCMPC,TONNES,GAS,0.0363
2015,EN_MAT_DOMCMPC,TONNES,GAS,0.04586
2016,EN_MAT_DOMCMPC,TONNES,GAS,0.04594
2017,EN_MAT_DOMCMPC,TONNES,GAS,0.04589
2000,EN_MAT_DOMCMPC,TONNES,GBO,0.05734
2001,EN_MAT_DOMCMPC,TONNES,GBO,0.01722
2002,EN_MAT_DOMCMPC,TONNES,GBO,0.00274
2003,EN_MAT_DOMCMPC,TONNES,GBO,0.00314
2004,EN_MAT_DOMCMPC,TONNES,GBO,0.00411
2005,EN_MAT_DOMCMPC,TONNES,GBO,0.03204
2006,EN_MAT_DOMCMPC,TONNES,GBO,0.09853
2007,EN_MAT_DOMCMPC,TONNES,GBO,0.20202
2008,EN_MAT_DOMCMPC,TONNES,GBO,0.16985
2009,EN_MAT_DOMCMPC,TONNES,GBO,0.17391
2010,EN_MAT_DOMCMPC,TONNES,GBO,0.24879
2011,EN_MAT_DOMCMPC,TONNES,GBO,0.23406
2012,EN_MAT_DOMCMPC,TONNES,GBO,0.20314
2013,EN_MAT_DOMCMPC,TONNES,GBO,0.20697
2014,EN_MAT_DOMCMPC,TONNES,GBO,0.20814
2015,EN_MAT_DOMCMPC,TONNES,GBO,0.229
2016,EN_MAT_DOMCMPC,TONNES,GBO,0.24944
2017,EN_MAT_DOMCMPC,TONNES,GBO,0.26938
2000,EN_MAT_DOMCMPC,TONNES,MEO,0.16399
2001,EN_MAT_DOMCMPC,TONNES,MEO,0.09387
2002,EN_MAT_DOMCMPC,TONNES,MEO,0.07503
2003,EN_MAT_DOMCMPC,TONNES,MEO,0.23986
2004,EN_MAT_DOMCMPC,TONNES,MEO,0.27573
2005,EN_MAT_DOMCMPC,TONNES,MEO,0.76364
2006,EN_MAT_DOMCMPC,TONNES,MEO,0.73469
2007,EN_MAT_DOMCMPC,TONNES,MEO,0.6991
2008,EN_MAT_DOMCMPC,TONNES,MEO,0.87801
2009,EN_MAT_DOMCMPC,TONNES,MEO,0.74851
2010,EN_MAT_DOMCMPC,TONNES,MEO,0.46251
2011,EN_MAT_DOMCMPC,TONNES,MEO,0.52544
2012,EN_MAT_DOMCMPC,TONNES,MEO,0.50998
2013,EN_MAT_DOMCMPC,TONNES,MEO,0.60932
2014,EN_MAT_DOMCMPC,TONNES,MEO,0.60614
2015,EN_MAT_DOMCMPC,TONNES,MEO,0.651
2016,EN_MAT_DOMCMPC,TONNES,MEO,0.69447
2017,EN_MAT_DOMCMPC,TONNES,MEO,0.73645
2000,EN_MAT_DOMCMPC,TONNES,NFO,0.06762
2001,EN_MAT_DOMCMPC,TONNES,NFO,0.02386
2002,EN_MAT_DOMCMPC,TONNES,NFO,0.01888
2003,EN_MAT_DOMCMPC,TONNES,NFO,0.16795
2004,EN_MAT_DOMCMPC,TONNES,NFO,0.17846
2005,EN_MAT_DOMCMPC,TONNES,NFO,0.25318
2006,EN_MAT_DOMCMPC,TONNES,NFO,0.18775
2007,EN_MAT_DOMCMPC,TONNES,NFO,0.1688
2008,EN_MAT_DOMCMPC,TONNES,NFO,0.23749
2009,EN_MAT_DOMCMPC,TONNES,NFO,0.12573
2010,EN_MAT_DOMCMPC,TONNES,NFO,0.2365
2011,EN_MAT_DOMCMPC,TONNES,NFO,0.23643
2012,EN_MAT_DOMCMPC,TONNES,NFO,0.24797
2013,EN_MAT_DOMCMPC,TONNES,NFO,0.24609
2014,EN_MAT_DOMCMPC,TONNES,NFO,0.21644
2015,EN_MAT_DOMCMPC,TONNES,NFO,0.22967
2016,EN_MAT_DOMCMPC,TONNES,NFO,0.24238
2017,EN_MAT_DOMCMPC,TONNES,NFO,0.25455
2000,EN_MAT_DOMCMPC,TONNES,NMA,0.18913
2001,EN_MAT_DOMCMPC,TONNES,NMA,0.25289
2002,EN_MAT_DOMCMPC,TONNES,NMA,0.22997
2003,EN_MAT_DOMCMPC,TONNES,NMA,0.12543
2004,EN_MAT_DOMCMPC,TONNES,NMA,0.17804
2005,EN_MAT_DOMCMPC,TONNES,NMA,0.26178
2006,EN_MAT_DOMCMPC,TONNES,NMA,0.44654
2007,EN_MAT_DOMCMPC,TONNES,NMA,0.60988
2008,EN_MAT_DOMCMPC,TONNES,NMA,0.62429
2009,EN_MAT_DOMCMPC,TONNES,NMA,0.52175
2010,EN_MAT_DOMCMPC,TONNES,NMA,0.40622
2011,EN_MAT_DOMCMPC,TONNES,NMA,0.50838
2012,EN_MAT_DOMCMPC,TONNES,NMA,0.51004
2013,EN_MAT_DOMCMPC,TONNES,NMA,0.44764
2014,EN_MAT_DOMCMPC,TONNES,NMA,0.50547
2015,EN_MAT_DOMCMPC,TONNES,NMA,0.53689
2016,EN_MAT_DOMCMPC,TONNES,NMA,0.56709
2017,EN_MAT_DOMCMPC,TONNES,NMA,0.59602
2000,EN_MAT_DOMCMPC,TONNES,NMC,1.70268
2001,EN_MAT_DOMCMPC,TONNES,NMC,1.87307
2002,EN_MAT_DOMCMPC,TONNES,NMC,2.24856
2003,EN_MAT_DOMCMPC,TONNES,NMC,3.81502
2004,EN_MAT_DOMCMPC,TONNES,NMC,3.30196
2005,EN_MAT_DOMCMPC,TONNES,NMC,2.54502
2006,EN_MAT_DOMCMPC,TONNES,NMC,3.153
2007,EN_MAT_DOMCMPC,TONNES,NMC,3.49718
2008,EN_MAT_DOMCMPC,TONNES,NMC,3.75915
2009,EN_MAT_DOMCMPC,TONNES,NMC,3.62215
2010,EN_MAT_DOMCMPC,TONNES,NMC,3.78413
2011,EN_MAT_DOMCMPC,TONNES,NMC,3.58703
2012,EN_MAT_DOMCMPC,TONNES,NMC,3.82068
2013,EN_MAT_DOMCMPC,TONNES,NMC,4.30092
2014,EN_MAT_DOMCMPC,TONNES,NMC,4.68823
2015,EN_MAT_DOMCMPC,TONNES,NMC,5.01912
2016,EN_MAT_DOMCMPC,TONNES,NMC,5.33908
2017,EN_MAT_DOMCMPC,TONNES,NMC,5.64745
2000,EN_MAT_DOMCMPC,TONNES,NMM,1.89181
2001,EN_MAT_DOMCMPC,TONNES,NMM,2.12596
2002,EN_MAT_DOMCMPC,TONNES,NMM,2.47853
2003,EN_MAT_DOMCMPC,TONNES,NMM,3.94044
2004,EN_MAT_DOMCMPC,TONNES,NMM,3.48001
2005,EN_MAT_DOMCMPC,TONNES,NMM,2.8068
2006,EN_MAT_DOMCMPC,TONNES,NMM,3.59954
2007,EN_MAT_DOMCMPC,TONNES,NMM,4.10707
2008,EN_MAT_DOMCMPC,TONNES,NMM,4.38344
2009,EN_MAT_DOMCMPC,TONNES,NMM,4.1439
2010,EN_MAT_DOMCMPC,TONNES,NMM,4.19035
2011,EN_MAT_DOMCMPC,TONNES,NMM,4.09541
2012,EN_MAT_DOMCMPC,TONNES,NMM,4.33072
2013,EN_MAT_DOMCMPC,TONNES,NMM,4.74856
2014,EN_MAT_DOMCMPC,TONNES,NMM,5.1937
2015,EN_MAT_DOMCMPC,TONNES,NMM,5.55601
2016,EN_MAT_DOMCMPC,TONNES,NMM,5.90616
2017,EN_MAT_DOMCMPC,TONNES,NMM,6.24347
2000,EN_MAT_DOMCMPC,TONNES,PET,0.30478
2001,EN_MAT_DOMCMPC,TONNES,PET,0.29778
2002,EN_MAT_DOMCMPC,TONNES,PET,0.28789
2003,EN_MAT_DOMCMPC,TONNES,PET,0.26751
2004,EN_MAT_DOMCMPC,TONNES,PET,0.31391
2005,EN_MAT_DOMCMPC,TONNES,PET,0.29618
2006,EN_MAT_DOMCMPC,TONNES,PET,0.31777
2007,EN_MAT_DOMCMPC,TONNES,PET,0.33863
2008,EN_MAT_DOMCMPC,TONNES,PET,0.39085
2009,EN_MAT_DOMCMPC,TONNES,PET,0.43693
2010,EN_MAT_DOMCMPC,TONNES,PET,0.44867
2011,EN_MAT_DOMCMPC,TONNES,PET,0.46464
2012,EN_MAT_DOMCMPC,TONNES,PET,0.42021
2013,EN_MAT_DOMCMPC,TONNES,PET,0.41304
2014,EN_MAT_DOMCMPC,TONNES,PET,0.38839
2015,EN_MAT_DOMCMPC,TONNES,PET,0.40346
2016,EN_MAT_DOMCMPC,TONNES,PET,0.41748
2017,EN_MAT_DOMCMPC,TONNES,PET,0.43051
2000,EN_MAT_DOMCMPC,TONNES,WCH,0.00225
2001,EN_MAT_DOMCMPC,TONNES,WCH,0.0023
2002,EN_MAT_DOMCMPC,TONNES,WCH,0.00296
2003,EN_MAT_DOMCMPC,TONNES,WCH,0.00311
2004,EN_MAT_DOMCMPC,TONNES,WCH,0.00361
2005,EN_MAT_DOMCMPC,TONNES,WCH,0.00408
2006,EN_MAT_DOMCMPC,TONNES,WCH,0.00296
2007,EN_MAT_DOMCMPC,TONNES,WCH,0.00292
2008,EN_MAT_DOMCMPC,TONNES,WCH,0.00291
2009,EN_MAT_DOMCMPC,TONNES,WCH,0.00271
2010,EN_MAT_DOMCMPC,TONNES,WCH,0.00245
2011,EN_MAT_DOMCMPC,TONNES,WCH,0.00225
2012,EN_MAT_DOMCMPC,TONNES,WCH,0.0023
2013,EN_MAT_DOMCMPC,TONNES,WCH,0.00246
2014,EN_MAT_DOMCMPC,TONNES,WCH,0.00248
2015,EN_MAT_DOMCMPC,TONNES,WCH,0.00246
2016,EN_MAT_DOMCMPC,TONNES,WCH,0.00242
2017,EN_MAT_DOMCMPC,TONNES,WCH,0.00238
2000,EN_MAT_DOMCMPC,TONNES,WOD,0.65807
2001,EN_MAT_DOMCMPC,TONNES,WOD,0.5795
2002,EN_MAT_DOMCMPC,TONNES,WOD,0.65011
2003,EN_MAT_DOMCMPC,TONNES,WOD,0.63242
2004,EN_MAT_DOMCMPC,TONNES,WOD,0.48414
2005,EN_MAT_DOMCMPC,TONNES,WOD,0.50906
2006,EN_MAT_DOMCMPC,TONNES,WOD,0.56101
2007,EN_MAT_DOMCMPC,TONNES,WOD,0.49105
2008,EN_MAT_DOMCMPC,TONNES,WOD,0.54082
2009,EN_MAT_DOMCMPC,TONNES,WOD,0.4581
2010,EN_MAT_DOMCMPC,TONNES,WOD,0.51753
2011,EN_MAT_DOMCMPC,TONNES,WOD,0.54586
2012,EN_MAT_DOMCMPC,TONNES,WOD,0.57248
2013,EN_MAT_DOMCMPC,TONNES,WOD,0.61619
2014,EN_MAT_DOMCMPC,TONNES,WOD,0.59812
2015,EN_MAT_DOMCMPC,TONNES,WOD,0.56402
2016,EN_MAT_DOMCMPC,TONNES,WOD,0.5637
2017,EN_MAT_DOMCMPC,TONNES,WOD,0.56187
2000,EN_MAT_DOMCMPG,KG PER CON USD,ALP,1.93849
2001,EN_MAT_DOMCMPG,KG PER CON USD,ALP,1.98851
2002,EN_MAT_DOMCMPG,KG PER CON USD,ALP,2.02977
2003,EN_MAT_DOMCMPG,KG PER CON USD,ALP,2.33932
2004,EN_MAT_DOMCMPG,KG PER CON USD,ALP,2.26058
2005,EN_MAT_DOMCMPG,KG PER CON USD,ALP,2.15715
2006,EN_MAT_DOMCMPG,KG PER CON USD,ALP,2.15715
2007,EN_MAT_DOMCMPG,KG PER CON USD,ALP,2.30617
2008,EN_MAT_DOMCMPG,KG PER CON USD,ALP,2.2313
2009,EN_MAT_DOMCMPG,KG PER CON USD,ALP,2.36588
2010,EN_MAT_DOMCMPG,KG PER CON USD,ALP,2.36948
2011,EN_MAT_DOMCMPG,KG PER CON USD,ALP,2.26028
2012,EN_MAT_DOMCMPG,KG PER CON USD,ALP,2.32958
2013,EN_MAT_DOMCMPG,KG PER CON USD,ALP,2.29121
2014,EN_MAT_DOMCMPG,KG PER CON USD,ALP,2.38481
2015,EN_MAT_DOMCMPG,KG PER CON USD,ALP,2.40347
2016,EN_MAT_DOMCMPG,KG PER CON USD,ALP,2.48015
2017,EN_MAT_DOMCMPG,KG PER CON USD,ALP,2.5021
2000,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.57457
2001,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.6069
2002,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.59854
2003,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.46078
2004,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.57956
2005,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.55821
2006,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.54704
2007,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.47096
2008,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.50694
2009,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.49865
2010,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.48301
2011,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.47923
2012,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.43436
2013,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.4953
2014,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.46572
2015,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.45083
2016,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.44286
2017,EN_MAT_DOMCMPG,KG PER CON USD,BIM,0.43543
2000,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.6121
2001,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.60552
2002,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.59792
2003,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.62397
2004,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.59436
2005,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.60173
2006,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.6241
2007,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.57697
2008,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.63089
2009,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.68873
2010,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.66184
2011,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.7573
2012,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.73041
2013,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.69965
2014,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.69103
2015,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.74676
2016,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.74675
2017,EN_MAT_DOMCMPG,KG PER CON USD,COL,0.74686
2000,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.10577
2001,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.13179
2002,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.14381
2003,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.0852
2004,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.14313
2005,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.13185
2006,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.12377
2007,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.08656
2008,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.11291
2009,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.11648
2010,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.09415
2011,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.09306
2012,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.07421
2013,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.09852
2014,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.08755
2015,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.08499
2016,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.08244
2017,EN_MAT_DOMCMPG,KG PER CON USD,CPR,0.08006
2000,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.24453
2001,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.2926
2002,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.26429
2003,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.1969
2004,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.30693
2005,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.2882
2006,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.26408
2007,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.22665
2008,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.24105
2009,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.24252
2010,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.22227
2011,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.21978
2012,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.19512
2013,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.22769
2014,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.21617
2015,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.21256
2016,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.20889
2017,EN_MAT_DOMCMPG,KG PER CON USD,CRO,0.20546
2000,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.03012
2001,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.02133
2002,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.01631
2003,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.02012
2004,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.02561
2005,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.12936
2006,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.13142
2007,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.1202
2008,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.13732
2009,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.13702
2010,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.04898
2011,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.06148
2012,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.05558
2013,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.0744
2014,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.07805
2015,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.08118
2016,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.084
2017,EN_MAT_DOMCMPG,KG PER CON USD,FEO,0.08666
2000,EN_MAT_DOMCMPG,KG PER CON USD,FOF,0.72149
2001,EN_MAT_DOMCMPG,KG PER CON USD,FOF,0.70527
2002,EN_MAT_DOMCMPG,KG PER CON USD,FOF,0.68965
2003,EN_MAT_DOMCMPG,KG PER CON USD,FOF,0.70903
2004,EN_MAT_DOMCMPG,KG PER CON USD,FOF,0.69216
2005,EN_MAT_DOMCMPG,KG PER CON USD,FOF,0.69411
2006,EN_MAT_DOMCMPG,KG PER CON USD,FOF,0.71773
2007,EN_MAT_DOMCMPG,KG PER CON USD,FOF,0.67098
2008,EN_MAT_DOMCMPG,KG PER CON USD,FOF,0.73092
2009,EN_MAT_DOMCMPG,KG PER CON USD,FOF,0.79441
